,station,locatie,x,y
0,P01_003,Zarren,51907.0,191193.0
1,P01_010,Ieper,45836.0,171260.0
2,P01_015,Sint-Joris,37391.0,203053.0
3,P01_029,De Panne,25566.0,198775.0
4,P01_037,Poperinge,30383.0,169639.0
5,P02_004,Oostkamp,71934.0,203046.0
6,P02_008,Klemskerke,54903.0,213712.0
7,P02_030,Dudzele,73428.0,219889.0
8,P03_041,Ertvelde,107553.0,206313.0
9,P03_017,Boekhoute,102378.0,217610.0
10,P03_036,Stekene,126793.0,209790.0
11,P03_005,Vinderhoute,100117.0,197676.0
12,P04_027,Wilrijk,150532.0,204061.0
13,P04_001,Melsele,142966.0,214911.0
14,P04_020,Massemen,115584.0,185349.0
15,P05_038,Geluwe,59622.0,167497.0
16,P05_019,Waregem,82616.0,172798.0
17,P05_039,Roeselare,65867.0,181510.0
18,P06_040,Zingem,99800.0,177500.0
19,P06_014,Maarke-Kerkem,100828.0,167846.0
20,P07_022,Denderbelle,130619.0,188456.0
21,P07_006,Liedekerke,130730.0,175177.0
22,P07_021,Moerbeke,116794.0,159224.0
23,P08_028,Rotselaar,173437.0,181832.0
24,P08_013,Korbeek-Dijle,169338.0,169563.0
25,P08_031,Heverlee,170944.0,174177.0
26,P08_033,Nossegem,159180.0,174735.0
27,P08_018,Bonheiden,159936.0,191383.0
28,P08_009,St-Pieters-Leeuw,144952.0,166549.0
29,P08_023,Lembeek,139389.0,155330.0
30,P09_025,Houthalen,219082.0,189904.0
31,P09_026,Runkelen,205040.0,172223.0
32,P09_016,Lummen,205866.0,184545.0
33,P09_012,Niel-bij-St.-Truiden,204600.0,158877.0
34,P09_034,Tessenderlo,202728.0,193815.0
35,P09_032,Tienen,192311.0,166377.0
36,P09_035,Beverst,226491.0,177335.0
37,P10_011,Herentals,183363.0,205910.0
38,P10_042,Vosselaar,187754.0,220718.0
39,P11_007,Loenhout,173416.0,230970.0
40,P11_002,Overpelt,224843.0,210857.0
41,P11_024,Kanne,242038.0,167382.0
42,P11_043,Neeroeteren,242149.0,197668.0
